title,image,quantity,price
מלון,https://static.wixstatic.com/media/5d4d94_f677b22945fe4f5f98ce28830fde309b~mv2.jpg,50,20
אפרסק,https://static.wixstatic.com/media/5d4d94_0c727ef7c8e347f081f58870f44d8cd6~mv2.jpg,60,25
תותים,https://static.wixstatic.com/media/5d4d94_4a861ad31a9548cbaa26c85208eefdb2~mv2.jpg,100,55
דובדבן,https://static.wixstatic.com/media/5d4d94_d4fcc9efb7b748ceaf5d1a2a26d14e64~mv2.jpg,80,120
אננס,https://static.wixstatic.com/media/5d4d94_8f6594bcf29049328b625b5c449db813~mv2.jpg,64,150
קיווי,https://static.wixstatic.com/media/5d4d94_7440dca080d04e57bb5af6c85fe38302~mv2.jpg,50,35
תפוח,https://static.wixstatic.com/media/5d4d94_2620f0b476ff472cbbaf26c43ff13e4c~mv2.jpg,100,15
קוקוס,https://static.wixstatic.com/media/5d4d94_8f9262a200fe4cccbb56a75b9263a83b~mv2.jpg,20,85
מנגו,https://static.wixstatic.com/media/5d4d94_626941c79a8f402b90ae962e545bc54f~mv2.jpg,300,90
מלון,https://static.wixstatic.com/media/5d4d94_f677b22945fe4f5f98ce28830fde309b~mv2.jpg,50,20
אפרסק,https://static.wixstatic.com/media/5d4d94_0c727ef7c8e347f081f58870f44d8cd6~mv2.jpg,60,25
תותים,https://static.wixstatic.com/media/5d4d94_4a861ad31a9548cbaa26c85208eefdb2~mv2.jpg,100,55
דובדבן,https://static.wixstatic.com/media/5d4d94_d4fcc9efb7b748ceaf5d1a2a26d14e64~mv2.jpg,80,120
אננס,https://static.wixstatic.com/media/5d4d94_8f6594bcf29049328b625b5c449db813~mv2.jpg,64,150
קיווי,https://static.wixstatic.com/media/5d4d94_7440dca080d04e57bb5af6c85fe38302~mv2.jpg,50,35
תפוח,https://static.wixstatic.com/media/5d4d94_2620f0b476ff472cbbaf26c43ff13e4c~mv2.jpg,100,15
קוקוס,https://static.wixstatic.com/media/5d4d94_8f9262a200fe4cccbb56a75b9263a83b~mv2.jpg,20,85
מנגו,https://static.wixstatic.com/media/5d4d94_626941c79a8f402b90ae962e545bc54f~mv2.jpg,300,90
מלון,https://static.wixstatic.com/media/5d4d94_f677b22945fe4f5f98ce28830fde309b~mv2.jpg,50,20
אפרסק,https://static.wixstatic.com/media/5d4d94_0c727ef7c8e347f081f58870f44d8cd6~mv2.jpg,60,25
תותים,https://static.wixstatic.com/media/5d4d94_4a861ad31a9548cbaa26c85208eefdb2~mv2.jpg,100,55
דובדבן,https://static.wixstatic.com/media/5d4d94_d4fcc9efb7b748ceaf5d1a2a26d14e64~mv2.jpg,80,120
אננס,https://static.wixstatic.com/media/5d4d94_8f6594bcf29049328b625b5c449db813~mv2.jpg,64,150
קיווי,https://static.wixstatic.com/media/5d4d94_7440dca080d04e57bb5af6c85fe38302~mv2.jpg,50,35
תפוח,https://static.wixstatic.com/media/5d4d94_2620f0b476ff472cbbaf26c43ff13e4c~mv2.jpg,100,15
קוקוס,https://static.wixstatic.com/media/5d4d94_8f9262a200fe4cccbb56a75b9263a83b~mv2.jpg,20,85
מנגו,https://static.wixstatic.com/media/5d4d94_626941c79a8f402b90ae962e545bc54f~mv2.jpg,300,90
מלון,https://static.wixstatic.com/media/5d4d94_f677b22945fe4f5f98ce28830fde309b~mv2.jpg,50,20
אפרסק,https://static.wixstatic.com/media/5d4d94_0c727ef7c8e347f081f58870f44d8cd6~mv2.jpg,60,25
תותים,https://static.wixstatic.com/media/5d4d94_4a861ad31a9548cbaa26c85208eefdb2~mv2.jpg,100,55
דובדבן,https://static.wixstatic.com/media/5d4d94_d4fcc9efb7b748ceaf5d1a2a26d14e64~mv2.jpg,80,120
אננס,https://static.wixstatic.com/media/5d4d94_8f6594bcf29049328b625b5c449db813~mv2.jpg,64,150
קיווי,https://static.wixstatic.com/media/5d4d94_7440dca080d04e57bb5af6c85fe38302~mv2.jpg,50,35
תפוח,https://static.wixstatic.com/media/5d4d94_2620f0b476ff472cbbaf26c43ff13e4c~mv2.jpg,100,15
קוקוס,https://static.wixstatic.com/media/5d4d94_8f9262a200fe4cccbb56a75b9263a83b~mv2.jpg,20,85
מנגו,https://static.wixstatic.com/media/5d4d94_626941c79a8f402b90ae962e545bc54f~mv2.jpg,300,90
מלון,https://static.wixstatic.com/media/5d4d94_f677b22945fe4f5f98ce28830fde309b~mv2.jpg,50,20
